iter	Passed	Remaining
0	81	81648
1	171	85371
2	244	81296
3	317	79119
4	368	73357
5	422	70069
6	499	70927
7	558	69193
8	625	68868
9	720	71339
10	793	71361
11	854	70364
12	921	69940
13	962	67770
14	1018	66908
15	1066	65573
16	1110	64227
17	1152	62893
18	1211	62553
19	1302	63832
20	1431	66727
21	1522	67689
22	1577	67009
23	1618	65818
24	1666	65005
25	1711	64105
26	1751	63125
27	1797	62393
28	1846	61824
29	1938	62688
30	1985	62074
31	2022	61169
32	2066	60548
33	2117	60172
34	2170	59850
35	2220	59447
36	2273	59175
37	2330	59008
38	2399	59115
39	2465	59180
40	2507	58661
41	2556	58312
42	2599	57857
43	2730	59323
44	2776	58929
45	2822	58533
46	2871	58227
47	2913	57780
48	2958	57411
49	3003	57060
50	3047	56701
51	3097	56463
52	3136	56038
53	3179	55702
54	3232	55541
55	3268	55100
56	3317	54882
57	3359	54556
58	3396	54176
59	3448	54023
60	3489	53707
61	3533	53455
62	3598	53517
63	3663	53582
64	3742	53837
65	3800	53783
66	3837	53441
67	3904	53512
68	3946	53253
69	3990	53022
70	4029	52724
71	4066	52410
72	4103	52110
73	4166	52138
74	4213	51967
75	4259	51789
76	4307	51637
77	4352	51453
78	4395	51241
79	4448	51154
80	4495	51009
81	4538	50807
82	4571	50505
83	4613	50311
84	4668	50252
85	4710	50067
86	4759	49943
87	4812	49871
88	4870	49851
89	4911	49660
90	4958	49525
91	5000	49354
92	5045	49206
93	5101	49173
94	5137	48943
95	5181	48793
96	5224	48633
97	5275	48556
98	5332	48533
99	5388	48498
100	5432	48356
101	5479	48240
102	5526	48125
103	5574	48030
104	5648	48146
105	5728	48310
106	5796	48379
107	5852	48335
108	5899	48224
109	5941	48073
110	5988	47963
111	6029	47804
112	6081	47734
113	6119	47559
114	6163	47430
115	6200	47250
116	6245	47137
117	6301	47098
118	6339	46930
119	6382	46807
120	6427	46695
121	6470	46563
122	6529	46559
123	6580	46486
124	6629	46405
125	6673	46288
126	6719	46189
127	6768	46108
128	6815	46014
129	6853	45864
130	6908	45826
131	6947	45685
132	6985	45538
133	7035	45469
134	7078	45355
135	7115	45201
136	7170	45168
137	7221	45111
138	7258	44960
139	7290	44786
140	7332	44671
141	7375	44564
142	7425	44500
143	7467	44389
144	7507	44266
145	7544	44130
146	7592	44054
147	7652	44053
148	7787	44478
149	7847	44471
150	7898	44408
151	7929	44240
152	7971	44128
153	8020	44060
154	8087	44090
155	8150	44095
156	8204	44053
157	8243	43928
158	8283	43812
159	8322	43694
160	8366	43599
161	8410	43506
162	8466	43473
163	8509	43376
164	8556	43299
165	8604	43228
166	8665	43223
167	8707	43125
168	8742	42986
169	8779	42862
170	8815	42736
171	8870	42701
172	8915	42618
173	8953	42505
174	8988	42373
175	9026	42258
176	9078	42210
177	9119	42111
178	9158	42005
179	9212	41966
180	9254	41876
181	9302	41810
182	9354	41762
183	9417	41764
184	9457	41665
185	9492	41543
186	9543	41490
187	9589	41419
188	9627	41311
189	9670	41225
190	9713	41144
191	9756	41057
192	9801	40984
193	9848	40916
194	9891	40832
195	9930	40733
196	9973	40651
197	10013	40561
198	10047	40440
199	10085	40343
200	10137	40296
201	10184	40235
202	10239	40202
203	10288	40143
204	10339	40098
205	10394	40063
206	10443	40007
207	10487	39931
208	10536	39876
209	10581	39808
210	10623	39725
211	10692	39742
212	10738	39677
213	10782	39604
214	10822	39513
215	10857	39408
216	10903	39344
217	10950	39280
218	10995	39213
219	11033	39117
220	11080	39058
221	11131	39011
222	11171	38923
223	11222	38876
224	11268	38812
225	11308	38729
226	11354	38665
227	11392	38575
228	11428	38477
229	11468	38395
230	11507	38309
231	11546	38221
232	11599	38182
233	11646	38123
234	11695	38073
235	11740	38006
236	11789	37955
237	11831	37879
238	11868	37789
239	11919	37744
240	11959	37664
241	12031	37685
242	12086	37651
243	12132	37590
244	12184	37546
245	12232	37493
246	12288	37463
247	12325	37374
248	12373	37318
249	12410	37230
250	12453	37162
251	12490	37074
252	12540	37025
253	12588	36972
254	12632	36906
255	12700	36911
256	12742	36838
257	12786	36774
258	12823	36688
259	12872	36636
260	12909	36550
261	12947	36470
262	12988	36397
263	13054	36394
264	13119	36388
265	13166	36330
266	13210	36267
267	13251	36193
268	13289	36113
269	13345	36083
270	13396	36037
271	13433	35954
272	13474	35881
273	13548	35899
274	13629	35932
275	13676	35876
276	13728	35833
277	13763	35746
278	13804	35674
279	13848	35610
280	13899	35563
281	13942	35499
282	13998	35466
283	14049	35421
284	14110	35399
285	14185	35413
286	14238	35372
287	14308	35373
288	14349	35302
289	14398	35251
290	14444	35192
291	14497	35151
292	14536	35077
293	14574	34997
294	14618	34936
295	14667	34885
296	14751	34916
297	14822	34917
298	14861	34842
299	14913	34798
300	14952	34723
301	15002	34675
302	15056	34635
303	15113	34601
304	15193	34622
305	15266	34624
306	15332	34609
307	15401	34602
308	15444	34538
309	15486	34470
310	15526	34397
311	15566	34326
312	15613	34269
313	15703	34308
314	15772	34298
315	15825	34254
316	15906	34271
317	15990	34294
318	16048	34260
319	16100	34213
320	16163	34189
321	16230	34175
322	16281	34125
323	16344	34102
324	16388	34037
325	16443	33995
326	16484	33927
327	16522	33851
328	16583	33822
329	16639	33784
330	16696	33747
331	16746	33694
332	16813	33677
333	16856	33611
334	16924	33595
335	16969	33535
336	17036	33517
337	17075	33443
338	17157	33454
339	17236	33458
340	17296	33427
341	17357	33394
342	17401	33331
343	17440	33259
344	17492	33209
345	17543	33160
346	17583	33089
347	17623	33019
348	17681	32980
349	17734	32934
350	17787	32889
351	17839	32840
352	17894	32798
353	17938	32735
354	17979	32666
355	18018	32595
356	18063	32534
357	18120	32496
358	18175	32452
359	18221	32393
360	18263	32328
361	18314	32278
362	18374	32244
363	18415	32177
364	18471	32134
365	18530	32098
366	18588	32061
367	18641	32014
368	18702	31981
369	18742	31912
370	18789	31855
371	18846	31815
372	18885	31746
373	18923	31673
374	18965	31609
375	19021	31567
376	19068	31511
377	19117	31457
378	19157	31389
379	19192	31313
380	19233	31248
381	19281	31193
382	19327	31135
383	19366	31066
384	19412	31009
385	19466	30964
386	19516	30914
387	19561	30854
388	19613	30807
389	19658	30748
390	19700	30684
391	19737	30613
392	19794	30573
393	19854	30538
394	19939	30540
395	20004	30511
396	20056	30464
397	20098	30400
398	20148	30349
399	20199	30299
400	20255	30257
401	20339	30256
402	20387	30201
403	20426	30134
404	20479	30086
405	20535	30044
406	20579	29984
407	20653	29968
408	20715	29933
409	20826	29969
410	20888	29935
411	20933	29875
412	20984	29826
413	21023	29757
414	21074	29707
415	21121	29651
416	21167	29593
417	21217	29542
418	21294	29527
419	21362	29501
420	21492	29557
421	21561	29532
422	21598	29461
423	21646	29407
424	21686	29339
425	21732	29282
426	21785	29234
427	21842	29191
428	21881	29123
429	21922	29060
430	21976	29013
431	22064	29010
432	22137	28988
433	22185	28932
434	22234	28879
435	22288	28832
436	22331	28770
437	22382	28719
438	22418	28648
439	22461	28586
440	22507	28530
441	22558	28479
442	22597	28412
443	22644	28356
444	22693	28302
445	22742	28249
446	22783	28186
447	22868	28177
448	22966	28184
449	23035	28154
450	23073	28087
451	23134	28048
452	23209	28025
453	23304	28026
454	23389	28015
455	23464	27992
456	23562	27996
457	23634	27968
458	23701	27935
459	23758	27890
460	23807	27835
461	23857	27782
462	23899	27719
463	23941	27656
464	23988	27599
465	24033	27540
466	24075	27477
467	24141	27443
468	24208	27408
469	24270	27369
470	24317	27311
471	24353	27243
472	24403	27189
473	24464	27148
474	24514	27095
475	24550	27026
476	24589	26961
477	24626	26893
478	24695	26860
479	24754	26817
480	24811	26771
481	24855	26711
482	24918	26672
483	24963	26613
484	25001	26547
485	25041	26484
486	25083	26422
487	25131	26367
488	25193	26326
489	25241	26272
490	25319	26247
491	25367	26192
492	25417	26138
493	25475	26094
494	25526	26042
495	25570	25983
496	25627	25937
497	25686	25892
498	25723	25826
499	25764	25764
500	25811	25708
501	25865	25659
502	25925	25616
503	26013	25600
504	26185	25667
505	26280	25657
506	26336	25608
507	26373	25543
508	26415	25481
509	26482	25444
510	26530	25388
511	26572	25326
512	26606	25257
513	26645	25193
514	26697	25142
515	26739	25081
516	26784	25022
517	26825	24960
518	26916	24945
519	27008	24931
520	27074	24892
521	27132	24845
522	27180	24789
523	27228	24733
524	27278	24680
525	27334	24632
526	27404	24596
527	27443	24533
528	27489	24475
529	27540	24422
530	27586	24365
531	27631	24306
532	27678	24250
533	27746	24213
534	27795	24158
535	27851	24110
536	27908	24062
537	28010	24053
538	28096	24030
539	28148	23978
540	28191	23918
541	28236	23860
542	28287	23807
543	28334	23751
544	28412	23720
545	28482	23683
546	28550	23644
547	28623	23609
548	28676	23557
549	28735	23510
550	28806	23473
551	28883	23441
552	28958	23407
553	29050	23387
554	29108	23339
555	29167	23292
556	29214	23235
557	29261	23178
558	29334	23142
559	29387	23090
560	29450	23045
561	29544	23025
562	29608	22981
563	29698	22958
564	29747	22902
565	29792	22844
566	29832	22782
567	29969	22793
568	30029	22746
569	30156	22749
570	30243	22722
571	30316	22684
572	30372	22633
